Participant,Cluster_1_Mean,Cluster_2_Mean
sub-pp128,-1.4685665769794387,-19.444009278607556
sub-pp107,-9.74478975172948,-31.665975533537566
sub-pp050,8.195122187973087,-27.727901732611006
sub-pp171,21.45080152147601,-8.847639677455648
sub-pp147,-6.889167336317209,-26.813061257262483
sub-pp145,15.647277372281605,-19.302320220827255
sub-pp035,-11.830911189678558,-19.315588644924574
sub-pp054,3.411814739588022,-1.175981978324242
sub-pp074,8.10231928956135,-12.920495487075298
sub-pp073,4.771978760050594,-17.104549702899064
sub-pp038,12.47725240253655,7.390116438754834
sub-pp078,-2.2304117809503508,-51.065382159382104
sub-pp072,-3.8506653609332706,-40.275283713790586
sub-pp006,-0.7546291286523781,-32.96452253866196
sub-pp085,-10.94923271308852,-43.068972241476175
sub-pp095,-15.618353374355454,-33.336507795947604
sub-pp018,-4.458131236064001,-33.40754329474643
sub-pp013,-9.811360968128271,-15.192996790243313
sub-pp001,5.7781432867381834,-24.17993866740912
sub-pp010,-19.68429191645097,-51.288544673383235
sub-pp120,-5.053464763979574,-46.661995093978945
sub-pp118,14.908206678608543,-9.367345630028751
sub-pp163,23.970915918591356,-1.0194842604682781
sub-pp160,11.937680967873828,-20.69459010591358
sub-pp158,6.0072809381787255,-38.41659438275173
sub-pp168,0.37654701100020244,-13.8409999886062
sub-pp170,24.7120538578711,2.4598246868746356
sub-pp114,-12.266625652965317,-30.755881855815648
sub-pp117,6.518069090878861,-25.45330982234329
sub-pp024,13.69540128900412,-11.210906771122943
sub-pp020,4.336347602729678,-6.466548225304112
sub-pp008,25.876727487488605,-0.6406461419616826
sub-pp135,-5.929154524542497,-38.86122824218124
sub-pp009,-2.5730448093191,-6.312442059459165
sub-pp045,-8.03888528335553,-31.851578889884056
sub-pp022,5.60235547688803,-13.973238910913468
sub-pp021,-3.534486477839047,-12.700368314288564
sub-pp004,-12.740681601449797,-31.16893410205096
sub-pp069,-12.233062880203935,-41.97646742410958
sub-pp126,-10.791824714283319,-31.92319172295928
sub-pp137,6.913261809338553,-6.294106606016867
sub-pp067,9.334888653495373,-17.71639115144685
sub-pp166,-2.9544695249395154,-1.504363943418488
sub-pp111,1.6951062924883984,-5.7717465136796235
sub-pp099,24.935007806920428,1.0145782277686521
sub-pp151,-13.934632285113349,-66.3532965118587
sub-pp152,19.088741357212733,9.27588344767876
sub-pp156,1.844273930102417,-4.050279768822715
sub-pp149,3.960203204914248,-6.5146944804619995
sub-pp159,-0.10486881494020614,-42.75196889488399
sub-pp116,14.610368134225705,12.614528504565358
