Participant,Cluster_1_Mean,Cluster_2_Mean
sub-pp115,-34.853357699012484,-23.992315126946195
sub-pp108,8.718577176085713,-18.860239676736295
sub-pp007,12.207293793856248,3.679411922156811
sub-pp105,0.4714785858649134,-16.486952647307422
sub-pp124,4.307349407132662,-32.01227647399809
sub-pp030,10.014083871410953,4.287110384119209
sub-pp164,-1.282211491700124,-52.24867256199941
sub-pp155,11.82795233460955,15.352795845031737
sub-pp150,17.271718774104965,0.7273824978284538
sub-pp162,-2.4837998201874245,-19.31296173000615
sub-pp106,-0.17507152617020144,-47.66154263280565
sub-pp076,-2.2492860290845407,-30.679817250881346
sub-pp048,-1.7782719608746533,-28.83076619245112
sub-pp042,4.956232471959374,-8.103012890582905
sub-pp052,1.0994588629133002,-10.51685364914313
sub-pp068,7.007422002716961,-23.39311387734115
sub-pp092,-7.143309182792563,-29.898452278479933
sub-pp093,-17.77618375233775,-70.32479499271139
sub-pp032,4.701651792665492,-9.806010187968612
sub-pp125,20.82417763107353,23.79528529819846
sub-pp023,22.062629871410014,-35.86335680954531
sub-pp025,15.003019912799878,-11.923378562390804
sub-pp033,-7.435458873220828,-38.65225691320654
sub-pp112,30.06001137702214,4.259888261571526
sub-pp019,3.2511297740530423,20.42504696688801
sub-pp110,-12.910855779389816,-65.76450728399307
sub-pp027,-27.074834733522177,-42.33221678814292
sub-pp077,2.9075037101310204,-23.241487780032212
sub-pp127,-3.3446982427370173,-19.515820265512914
sub-pp044,-7.5626916707071485,-23.233990349387284
sub-pp091,12.885824573748982,-50.51208255904331
sub-pp161,10.707132459721631,2.077544935052283
sub-pp039,16.465854229734536,-8.217431256115436
sub-pp031,8.174202844394408,-13.9421462849956
sub-pp036,10.99476817731746,-15.953290159113704
sub-pp043,-14.338104172713226,-35.10672674326599
sub-pp034,-1.5346246215971213,-24.56703228713572
sub-pp129,7.88935589972894,-28.50607279586792
sub-pp046,0.5919735036960184,-19.197107370141893
sub-pp061,4.840670857695263,0.934360436083749
sub-pp083,23.127124229366455,20.763052430279554
sub-pp088,5.944486916181963,-8.188178704237533
sub-pp041,16.611026915506674,23.09591092777625
sub-pp012,-0.2680783286807459,-10.987617999017239
sub-pp051,11.54178685798944,2.316983429439366
sub-pp053,-6.302548618228347,-12.065395176516846
sub-pp133,6.155889115272424,-26.311330474590882
sub-pp169,12.479816927179227,5.90579817119753
sub-pp011,0.7117737967075191,-6.632217507191934
sub-pp003,7.470064824860957,-7.206370964962989
sub-pp080,21.729232044566814,6.073903565777932
sub-pp136,14.279496106433223,8.435698020026088
sub-pp094,0.3506446881020744,-23.626296277612447
sub-pp142,5.199070319910122,-35.28798578247428
sub-pp005,12.359778769293062,-20.58433798480034
sub-pp026,26.945006311725177,-8.008794243467971
sub-pp132,5.151119263585328,-20.1800259937644
sub-pp002,15.533086202247997,-15.252049947740975
sub-pp139,17.745994637749472,-17.01889258496091
sub-pp066,-19.431968008733204,-10.507834519697353
sub-pp029,6.950514514370691,-8.882396719630808
sub-pp060,46.890377664158486,22.246959364451467
sub-pp119,-1.5327044462843498,-15.814921011198312
sub-pp130,0.8375690715743012,-12.507297449987847
sub-pp167,16.075786767182528,-20.006178581163287
sub-pp070,5.057615819076697,-9.323007945118938
sub-pp059,19.053228776689693,-10.3400717021944
sub-pp028,11.4419093261847,-11.30722922658641
sub-pp064,19.713315644749887,-25.91684561597416
sub-pp143,22.36894174344689,1.076202150843106
