Z-stat/Contrast Type	MNI Coordinates (X,Y,Z)	P-value	Z-Score	Anatomical Area (Atlas Matches)
Multilingual Positive	-28, -58, 4	6.74e-06	5.05	[Harvard-Oxford Subcortical] 47% Left Lateral Ventricle, 36% Left Cerebral White Matter, 17% Left Cerebral Cortex | [Cerebellar Atlas in MNI152 space after normalization with FNIRT] No label found!
Multilingual Positive	4, -70, -42	0.03	3.3	[Harvard-Oxford Cortical] No label found! | [Harvard-Oxford Subcortical] No label found! | [Cerebellar Atlas in MNI152 space after normalization with FNIRT] 85% Vermis VIIIa, 6% Right VIIIa, 3% Right VIIb, 2% Vermis VIIIb, 1% Vermis VIIb, 1% Right Crus II
Aptitude Negative	-46, 38, 20	0.000286	4.02	[Harvard-Oxford Cortical] 44% Frontal Pole, 29% Middle Frontal Gyrus, 8% Inferior Frontal Gyrus, pars triangularis | [Harvard-Oxford Subcortical] 90% Left Cerebral Cortex, 8% Left Cerebral White Matter | [Cerebellar Atlas in MNI152 space after normalization with FNIRT] No label found!
Aptitude Negative	-60, -44, 46	0.000484	4.13	[Harvard-Oxford Cortical] 42% Supramarginal Gyrus, posterior division, 10% Supramarginal Gyrus, anterior division, 3% Angular Gyrus | [Harvard-Oxford Subcortical] 62% Left Cerebral Cortex, 0% Left Cerebral White Matter | [Cerebellar Atlas in MNI152 space after normalization with FNIRT] No label found!
Interaction Positive	60, -8, 24	4.85e-09	4.69	[Harvard-Oxford Cortical] 43% Postcentral Gyrus, 13% Precentral Gyrus | [Harvard-Oxford Subcortical] 59% Right Cerebral Cortex, 40% Right Cerebral White Matter | [Cerebellar Atlas in MNI152 space after normalization with FNIRT] No label found!
Interaction Positive	-32, -46, 34	9.06e-06	4.16	[Harvard-Oxford Subcortical] 86% Left Cerebral White Matter, 14% Left Cerebral Cortex | [Cerebellar Atlas in MNI152 space after normalization with FNIRT] No label found!
Interaction Positive	-62, -8, 32	0.00522	4.11	[Harvard-Oxford Cortical] 63% Postcentral Gyrus, 14% Precentral Gyrus | [Harvard-Oxford Subcortical] 85% Left Cerebral Cortex, 7% Left Cerebral White Matter | [Cerebellar Atlas in MNI152 space after normalization with FNIRT] No label found!
