Z-stat/Contrast Type	MNI Coordinates (X,Y,Z)	P-value	Z-Score	Anatomical Area (Atlas Matches)
Multilingual Positive	34, -80, 46	0.000825	5.56	[Harvard-Oxford Cortical] 41% Lateral Occipital Cortex, superior division | [Harvard-Oxford Subcortical] 47% Right Cerebral Cortex, 0% Right Cerebral White Matter | [Cerebellar Atlas in MNI152 space after normalization with FNIRT] No label found!
Aptitude Negative	-44, -34, 20	5.96e-07	4.51	[Harvard-Oxford Cortical] 67% Parietal Operculum Cortex, 4% Planum Temporale, 2% Central Opercular Cortex, 2% Supramarginal Gyrus, posterior division, 1% Superior Temporal Gyrus, posterior division | [Harvard-Oxford Subcortical] 77% Left Cerebral Cortex, 21% Left Cerebral White Matter | [Cerebellar Atlas in MNI152 space after normalization with FNIRT] No label found!
Aptitude Negative	-46, 32, 20	8.58e-06	4.1	[Harvard-Oxford Cortical] 32% Middle Frontal Gyrus, 27% Inferior Frontal Gyrus, pars triangularis, 9% Frontal Pole | [Harvard-Oxford Subcortical] 82% Left Cerebral Cortex, 17% Left Cerebral White Matter | [Cerebellar Atlas in MNI152 space after normalization with FNIRT] No label found!
Aptitude Negative	52, -30, 14	0.000245	4.05	[Harvard-Oxford Cortical] 55% Planum Temporale, 8% Parietal Operculum Cortex, 3% Supramarginal Gyrus, posterior division, 1% Heschl's Gyrus (includes H1 and H2), 1% Superior Temporal Gyrus, posterior division | [Harvard-Oxford Subcortical] 68% Right Cerebral Cortex, 32% Right Cerebral White Matter | [Cerebellar Atlas in MNI152 space after normalization with FNIRT] No label found!
