Participant,Cluster_1_Mean,Cluster_2_Mean,Cluster_3_Mean
sub-pp128,14.586300113882338,30.518210015035187,-1.5870430256664194
sub-pp107,12.584688742756844,6.056303898384906,16.49428218572527
sub-pp050,7.9510650493311035,8.88882757974055,5.099968624025793
sub-pp171,17.904388529828616,14.703129801285723,15.823275728218245
sub-pp147,-7.231102717550738,-5.545469439161724,-3.0364680455295088
sub-pp145,10.446007673668541,13.768086232493914,8.33404626267057
sub-pp035,20.76250733946051,7.990604811750335,1.815554912677195
sub-pp054,-15.055719816886953,-19.736141356301708,-2.1191308329374485
sub-pp074,14.481260316499641,17.051312977399206,13.16205923939459
sub-pp073,12.826262788346835,12.079252750641691,-3.2996895020610486
sub-pp038,15.014960034127746,3.297372574480095,-20.52626160820232
sub-pp078,4.607597081139684,-3.158230105739505,4.875717394287131
sub-pp072,13.109774982045804,18.846624807412415,11.465684130086807
sub-pp006,-1.061647881333317,0.24601396670907308,-6.400907801522499
sub-pp085,3.038063106951969,-1.510355634592598,-1.6804377983130387
sub-pp095,-5.428213010685784,0.5631564870867922,-11.847561289923606
sub-pp018,7.327550816759467,9.943661337678359,13.482265861281551
sub-pp013,20.543607305267027,11.876411176466679,11.100937587472847
sub-pp001,-7.474177158458956,-11.207704166060443,0.7594451001832183
sub-pp010,-3.1491072761906045,-6.737622121068913,-6.118067052192019
sub-pp120,6.038434194709573,16.30997471572711,0.9707549737040566
sub-pp118,18.308034792276366,9.926504578183545,11.950961406880491
sub-pp163,4.262726348667805,-5.3173164497074055,-2.387662426836742
sub-pp160,8.842504732715232,2.6292643571774827,11.62701650139918
sub-pp158,15.233895482953105,14.124135938457487,13.384300050656902
sub-pp168,-2.939857408723661,-12.249462276057013,-1.5197343741775329
sub-pp170,12.367979558280537,11.278453112377614,6.886554582400104
sub-pp114,17.303590551699912,14.141325855774356,10.416050246759305
sub-pp117,1.5587397566544159,-2.2493717910139543,11.461226179349747
sub-pp024,-2.469641429648868,-10.530583041322224,-5.696051267663626
sub-pp020,-4.262858350723982,0.21253758730691344,-12.508211603711748
sub-pp008,0.29989189563452134,-3.4352218242348806,-4.793673267306728
sub-pp135,0.45244510636797974,2.611307050695483,-4.016070653088333
sub-pp009,-1.094327460186822,7.340523700126189,-0.09460031165390134
sub-pp045,8.495620285251311,7.282876808798665,-7.152877536029533
sub-pp022,15.61666081247236,17.478161489510985,11.501020007033677
sub-pp021,8.398774981054345,0.6926469635618473,10.658824999162313
sub-pp004,7.266910382913692,18.038414176811322,5.762210524411426
sub-pp069,1.1784375922169004,-6.629535296669581,5.838801990325835
sub-pp126,7.7966808241712195,9.544619723896636,7.605818718730098
sub-pp137,-27.50190554663539,-28.067244718815946,-12.509137274499206
sub-pp067,-18.80697942018509,-19.084870309224417,-19.39519166350015
sub-pp166,16.35486481755972,20.763364863810896,17.99242719329882
sub-pp111,3.7887424466439654,3.220681075042287,7.049681504404227
sub-pp099,4.584041398635932,11.069211607856724,-7.368029327226544
sub-pp151,-5.25926110090954,-12.063146947996428,1.9873936139382364
sub-pp152,-12.198541600682907,-13.093452515538454,-21.31389546464015
sub-pp156,7.5426345244156465,6.921323868393818,8.901058959201523
sub-pp149,6.576003766214209,9.336246243809175,4.160167189005978
sub-pp159,-0.13751451352877275,0.8652961180147521,1.9129734943228802
sub-pp116,-6.468154787133847,-10.960529866314944,-5.708237431992971
sub-pp115,5.041216905585357,5.143132190675717,13.132936926427442
sub-pp108,7.818581591184651,2.3439076858637122,4.153458183022079
sub-pp007,13.522075327959444,16.365384373420444,14.998655200580277
sub-pp105,-8.693174576381487,-9.192177559460262,-9.136717098236014
sub-pp124,15.483667721620629,6.0439551157992435,-8.670502252554657
sub-pp030,-6.976647217731391,-2.182196026021139,-4.607575285606631
sub-pp164,-2.043798888645002,1.6403880316301789,17.51227284164178
sub-pp155,18.161109720213073,14.696794569674603,8.612253577035965
sub-pp150,26.421464178136418,15.913093632207138,19.831667710422117
sub-pp162,2.8021041929189647,2.2405207888056524,-5.901985166260261
sub-pp106,6.0174855142060135,7.072484234632449,12.963426150486503
sub-pp076,18.726003083756993,15.822087246035547,-0.07819850700841822
sub-pp048,1.152730328994138,0.7720272240889101,12.955759430825944
sub-pp042,-7.749961951598525,-3.108534996328889,-2.9999692932653774
sub-pp052,6.404893703950303,4.094229911865226,7.369742890698937
sub-pp068,22.964718271323612,22.923848263350337,-3.9966593439762184
sub-pp092,-11.026457188789333,-8.322548827934378,-7.7533961597708725
sub-pp093,23.343968421731677,22.242520709666547,17.76420070314911
