Participant,Cluster_1_Mean,Cluster_2_Mean,Cluster_3_Mean
sub-pp128,-5.073575411415742,6.33152176535439,-2.9185756604903736
sub-pp107,-7.866870261773378,-17.41849853459725,-6.19985207963446
sub-pp050,6.985089773588261,5.9809191032552,-1.4127584395115032
sub-pp171,18.72003062792167,5.208924017088294,-2.6001344732310674
sub-pp147,-17.949290208830806,-17.971125029963872,0.12741128426363643
sub-pp145,15.076672054514914,6.461065489188081,-0.4309443792582362
sub-pp035,-7.591078047188902,-4.248027058450576,-5.816684928009838
sub-pp054,-1.622974937413624,-14.220762840945456,1.5113407551805316
sub-pp074,4.123049118037441,-1.7388772208274144,-8.399826388454313
sub-pp073,10.172480561954533,-2.8248878003204942,3.1070126009157026
sub-pp038,16.001309352385963,12.86102149353612,13.766106118685075
sub-pp078,-4.912656012877911,0.2982972921915556,1.70666065542805
sub-pp072,-10.667375058089076,-14.522198055713066,-9.496237177083318
sub-pp006,-8.083348940500242,-13.945954505570457,-6.328440582551892
sub-pp085,-9.235166976233932,-11.033119107479525,-11.751081493633167
sub-pp095,-14.313988801203445,2.583970069549367,-0.1342061410276645
sub-pp018,4.474788337828826,-12.71270788587182,0.14048321420197452
sub-pp013,-11.147466226174178,-13.401546135272506,1.5346645470153149
sub-pp001,6.730008983371143,-14.291209175572044,-3.6320812119861645
sub-pp010,-23.073054745012595,-10.783632225046555,-12.0984559317025
sub-pp120,13.615387241707412,2.2075034685412556,1.2290584058436023
sub-pp118,20.272406197470907,7.0334082573443615,-0.6803659302021412
sub-pp163,17.52011619767029,14.085422000863025,4.699629338166679
sub-pp160,9.208208952433692,7.3069927196395,-7.516790708360331
sub-pp158,9.939263205757799,16.293477534229964,0.19898576498268614
sub-pp168,-0.05460278431098618,8.499806041976875,-4.379246568310983
sub-pp170,21.541912002567045,-8.916620464685062,1.545786484009003
sub-pp114,5.088752673001971,-10.556675977063431,2.213736603036523
sub-pp117,10.2163073714421,-5.388449153979945,-0.5653192161899023
sub-pp024,15.669757900770731,14.636823588829548,9.183060052620652
