Participant,Cluster_1_Mean,Cluster_2_Mean,Cluster_3_Mean,Cluster_4_Mean
sub-pp128,68.23229280364437,39.0824057887762,32.09815828728305,46.53829425876745
sub-pp107,14.246386661444408,30.54763841898674,31.66172882690349,19.174183117666242
sub-pp050,11.274196117562362,11.664591945544618,3.1015217479133566,4.904924035682427
sub-pp171,18.602356925530312,10.606000629993968,13.27979874884862,14.479110217016203
sub-pp147,-4.4557704920187975,-12.437195860044474,-3.676509375383186,-3.6793676410802605
sub-pp145,8.279197563078158,21.12912238153637,7.872767894035967,17.545333096916536
sub-pp035,14.992154593956776,12.180893502604121,-31.059373735705083,-6.7686474965961825
sub-pp054,-15.215375634574164,-9.277426477163457,6.9695042616043885,-1.5732604253504816
sub-pp074,18.45806522662632,-0.031189103241418846,-1.1017783903845992,0.4288824516400884
sub-pp073,14.360610119387125,13.20883753339155,21.854249259848366,18.67611631661533
sub-pp038,2.13733037996273,2.7293272578977366,4.454318578688406,5.271495234816876
sub-pp078,-2.575041775806592,18.818260617203947,-2.053334592198941,-0.5031839429271483
sub-pp072,20.46497490650568,-2.0811536672528095,-3.5152865962938304,3.577295633225503
sub-pp006,9.154904686191525,3.704166772839032,-4.713639258947006,0.2485509354049342
sub-pp085,1.1894294082545318,3.9065378437089358,-2.6756328075270175,-3.887540995728509
sub-pp095,-1.0172314251313368,1.6795360712895695,-26.84142882020325,-14.49648539440495
sub-pp018,6.800121108958354,5.951970812834752,5.921794763512562,8.59399690893614
sub-pp013,19.786338754576178,21.03339409009896,-7.677652550716287,-1.8168343965657705
sub-pp001,-6.5045061906560875,-16.821558410922687,-14.622964788552002,-12.985622283201645
sub-pp010,8.092076921997926,-11.98492946781409,-2.3837338920408464,-5.418382425837946
sub-pp120,16.673778312787032,17.71551770506761,8.6308418780314,10.286371543745842
sub-pp118,23.906004141080075,45.031309695834786,32.001231865814844,33.84899214461193
sub-pp163,-1.7981832789257168,13.893285834859324,2.33617325774098,2.55754869514143
sub-pp160,4.984763034719688,16.648811891324755,2.6283112167358555,9.584700117313227
sub-pp158,12.926582591923383,22.83642310068075,16.143355553205115,13.003761000233018
sub-pp168,-4.181076603822219,-1.8608168821192832,-4.3237478496378765,-2.040179459183563
sub-pp170,0.8551916630126727,-4.057286011567041,1.6325205446676327,5.059088528091839
sub-pp114,13.853015880936232,15.543206544545216,14.591393207925844,12.130255415285063
sub-pp117,0.6408930716701807,0.06350185743604715,-1.8368135565461834,-0.8771670434447976
sub-pp024,-5.263588472637228,-4.951727845059294,-0.6987966987948826,-13.228884057749225
sub-pp020,-1.1599811069476298,19.281514555566076,6.208103753998392,8.726564571336464
sub-pp008,5.974538599413175,-6.5636666749015005,-2.2115266096902633,-3.7807390971983557
sub-pp135,4.41220965059295,30.52353213319921,-7.2271134626573605,10.067596928671067
sub-pp009,5.477616851276252,-8.485683313871407,7.721882136161748,-2.1556205868205964
sub-pp045,9.272145527486618,-4.071170914842564,5.427956094905546,1.5581496875345004
sub-pp022,22.266782264583387,15.189613845358547,7.613158028926724,14.99993565403249
sub-pp021,5.4605446212375774,-8.45877812954032,-12.769895489811994,-13.600370755319632
sub-pp004,21.640021849213504,-2.889169811245261,-4.162332489777323,7.1399005044692005
sub-pp069,-3.0457980136004967,8.890685025033438,8.981924318317333,10.237931610755663
sub-pp126,13.849312854004213,23.76118823682141,14.18800843910987,26.653343724420694
sub-pp137,-7.971011290403131,-2.086800469467655,-9.470231279109916,-9.059470971732749
sub-pp067,-10.574848712560458,7.416883073006876,-3.8204696443615584,2.570972512754924
sub-pp166,8.403085919832572,8.106106916601714,-4.750026066868473,-7.801175532332688
sub-pp111,0.9947270407699622,0.7132006527569431,-22.920919106715154,-9.228272963013037
sub-pp099,11.771003176739965,13.579762056810209,35.642148705931376,19.91961626155615
sub-pp151,-11.183744493251046,8.769443098399947,6.198733965463419,1.811912401345996
sub-pp152,-19.160344510812024,-6.147147187885767,-3.4016569387240168,-3.854030944305262
sub-pp156,12.603738421010666,3.0714665581912506,-2.1160208735631323,6.69327410895571
sub-pp149,5.670947759120892,2.608335314628481,3.512798060390654,4.654177266612893
sub-pp159,6.23756329067326,-4.139025960756371,-0.15774757910417767,5.532958999767254
sub-pp116,-4.443590195694317,-9.066923045250785,0.6986988034285363,-1.7011900498247943
sub-pp115,12.031433813813596,-18.840582837470066,-4.3654576435144,2.6552428921098783
sub-pp108,8.518324338859664,11.831254402864088,1.4082465528126387,4.471654664507295
sub-pp007,2.3750803105724163,22.600532073177334,10.211309002589159,10.895072698149823
sub-pp105,-7.604651768085284,-19.746566456607265,-3.323818892097987,-4.671482927039263
sub-pp124,16.502179002360656,-9.777691403013836,-14.127416218180407,-14.35187007476549
sub-pp030,-1.5625764310521146,1.7212288876633264,4.128074422005314,1.5780795653791715
sub-pp164,15.130319076222486,1.8807091783835657,-8.424922465193346,-12.830140846580699
