Participant,Cluster_1_Mean
sub-pp128,-50.21296998830942
sub-pp107,-18.957598368571354
sub-pp050,15.430800933390856
sub-pp171,17.116395973700744
sub-pp147,-1.7952316489299902
sub-pp145,9.884582929874842
sub-pp035,5.298093273341656
sub-pp054,-9.137509183780505
sub-pp074,-10.044702082528518
sub-pp073,14.258837465758507
sub-pp038,7.3004529779920215
sub-pp078,-12.294757905510755
sub-pp072,2.665554584674179
sub-pp006,-15.426250248482594
sub-pp085,-12.94103062414206
sub-pp095,-11.235426695484382
sub-pp018,10.343429842752476
sub-pp013,-14.089870021125446
sub-pp001,-15.292762317519921
sub-pp010,10.15173560686696
sub-pp120,16.053521862809475
sub-pp118,-0.30761464020953727
sub-pp163,7.179348273325998
sub-pp160,3.4501288089786586
sub-pp158,19.90780730164968
sub-pp168,0.9945977232343732
sub-pp170,-10.508479692339897
sub-pp114,1.7197035489632533
sub-pp117,-18.84058789155231
sub-pp024,14.70758289114787
sub-pp020,7.057647134340726
sub-pp008,-20.043198532450656
sub-pp135,15.666737980407017
sub-pp009,-20.022318373276637
sub-pp045,10.277703698734538
sub-pp022,7.874031444444106
sub-pp021,-0.25491188863149056
sub-pp004,-4.101458305766663
sub-pp069,-7.11509243522699
sub-pp126,-11.3251753114737
sub-pp137,14.433541277922117
sub-pp067,-5.8533797431221375
sub-pp166,-4.929916266363401
sub-pp111,2.9459301274094303
sub-pp099,-11.942053122887245
sub-pp151,-9.370458869957007
sub-pp152,-29.179331452067082
sub-pp156,2.008398962464685
sub-pp149,-1.5496095034480095
sub-pp159,3.315611807468992
sub-pp116,-5.1658535698056225
sub-pp115,6.255110354783157
sub-pp108,3.3472844361800416
sub-pp007,-2.0295356428164704
sub-pp105,-4.391454977219064
sub-pp124,-10.694320743336128
sub-pp030,3.957559867214698
sub-pp164,-3.5224328375636387
sub-pp155,6.867214928498635
sub-pp150,-15.797611594771823
sub-pp162,-9.44623903353627
sub-pp106,14.390916844102053
sub-pp076,-13.763712825448467
sub-pp048,-14.129383426406063
sub-pp042,8.381975532993675
sub-pp052,-15.446864474117756
sub-pp068,40.55870109966168
sub-pp092,3.631118165655778
sub-pp093,24.430238767220423
sub-pp032,4.673988681370035
sub-pp125,14.177598746843064
sub-pp023,-16.837099192658297
sub-pp025,7.338329808125989
sub-pp033,6.374357463213114
sub-pp112,-19.146667428647095
sub-pp019,11.907522165568976
sub-pp110,-7.713777598039462
sub-pp027,6.816739738772695
sub-pp077,-13.012523006235178
sub-pp127,-5.856481842406032
sub-pp044,16.06595915617278
sub-pp091,-11.201363457237871
sub-pp161,9.20956057900133
sub-pp039,-2.849821382715152
sub-pp031,4.381845600484655
sub-pp036,2.756268054871605
sub-pp043,-3.728759311202627
sub-pp034,-4.013554499659042
sub-pp129,-8.532507751400654
sub-pp046,-34.06017153870601
sub-pp061,12.309297173086268
sub-pp083,6.271774573692909
sub-pp088,-11.831434217840433
sub-pp041,-15.493704500244213
sub-pp012,-12.365531636602604
sub-pp051,-9.531722654723204
sub-pp053,-0.49883458446997864
sub-pp133,2.683243057498565
sub-pp169,7.96912911551503
sub-pp011,23.677758519615118
sub-pp003,-1.297218340142415
sub-pp080,-11.141516380378834
sub-pp136,12.393416542324882
sub-pp094,27.915864623418223
sub-pp142,2.283191253559019
sub-pp005,-22.713770121060886
sub-pp026,27.638826955281772
sub-pp132,26.18857026781027
sub-pp002,-13.535819041178776
sub-pp139,0.746883863050204
sub-pp066,-1.8925785551621364
sub-pp029,4.791180334366285
sub-pp060,11.103217758135154
sub-pp119,5.2835162506954605
sub-pp130,-5.022621528987701
sub-pp167,-16.24130478808513
sub-pp070,-1.931958911957649
sub-pp059,-3.0629650588562853
sub-pp028,-1.380711769014597
sub-pp064,-13.795378920642229
sub-pp143,2.353391884015157
